[69, 181]
[120, 232]
[119, 231]
[71, 183]
[72, 184]
[73, 185]
[109, 221]
[118, 230]
[83, 195]
[54, 166]
[117, 229]
[116, 228]
[138, 250]
[59, 171]
[60, 172]
[100, 212]
[61, 173]
[110, 222]
[56, 168]
[67, 179]
[53, 165]
[68, 180]
[58, 170]
[107, 219]
[65, 177]
[103, 215]
[104, 216]
[82, 194]
[81, 193]
[137, 249]
[70, 182]
[122, 234]
[99, 211]
[115, 227]
[57, 169]
[98, 210]
[125, 237]
[126, 238]
[92, 204]
[96, 208]
[97, 209]
[79, 191]
[93, 205]
[91, 203]
[90, 202]
[89, 201]
[129, 241]
[121, 233]
[101, 213]
[102, 214]
[136, 248]
[114, 226]
[88, 200]
[127, 239]
[106, 218]
[87, 199]
[62, 174]
[63, 175]
[64, 176]
[105, 217]
[135, 247]
[66, 178]
[78, 190]
[55, 167]
[128, 240]
[80, 192]
[84, 196]
[85, 197]
[86, 198]
[133, 245]
[134, 246]
[77, 189]
[74, 186]
[75, 187]
[76, 188]
[124, 236]
[111, 223]
[108, 220]
[112, 224]
[113, 225]
[95, 207]
[94, 206]
[130, 242]
[131, 243]
[132, 244]
[123, 235]
