[77, 210]
[82, 215]
[83, 216]
[143, 276]
[79, 212]
[81, 214]
[80, 213]
[78, 211]
[85, 218]
[86, 219]
[84, 217]
[126, 259]
[122, 255]
[121, 254]
[120, 253]
[87, 220]
[128, 261]
[129, 262]
[132, 265]
[133, 266]
[134, 267]
[89, 222]
[73, 206]
[74, 207]
[76, 209]
[75, 208]
[130, 263]
[131, 264]
[88, 221]
[125, 258]
[127, 260]
[107, 240]
[124, 257]
[123, 256]
[104, 237]
[103, 236]
[102, 235]
[138, 271]
[139, 272]
[135, 268]
[136, 269]
[137, 270]
[52, 185]
[48, 181]
[49, 182]
[50, 183]
[51, 184]
[113, 246]
[114, 247]
[115, 248]
[116, 249]
[117, 250]
[118, 251]
[119, 252]
[112, 245]
[109, 242]
[108, 241]
[106, 239]
[105, 238]
[60, 193]
[61, 194]
[46, 179]
[62, 195]
[68, 201]
[69, 202]
[144, 277]
[72, 205]
[97, 230]
[90, 223]
[91, 224]
[92, 225]
[93, 226]
[94, 227]
[95, 228]
[96, 229]
[101, 234]
[110, 243]
[100, 233]
[111, 244]
[99, 232]
[140, 273]
[141, 274]
[142, 275]
[45, 178]
[58, 191]
[55, 188]
[56, 189]
[47, 180]
[98, 231]
[63, 196]
[64, 197]
[53, 186]
[54, 187]
[59, 192]
[67, 200]
[57, 190]
[71, 204]
[70, 203]
[65, 198]
[66, 199]
